ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab03604	I-F	113					I-Fb		
ab03605		2		arrays		ambiguous		P1virus	P1virus(incomplete)
ab03606		241							
ab03607		415							
ab03608	I-F	25					I-Fb		
ab03609		416							
ab03610		2		arrays		ambiguous		P1virus	P1virus(incomplete)
ab03611		2							
ab03612	I-F	417					I-Fa		
ab03613	I-F	1					I-Fb		
ab03614		2							
ab03615		2							
ab03616		2						P1virus	P1virus(incomplete)
ab03617		406							
ab03618		406							
ab03619		406							
ab03620		2						P1virus	P1virus(incomplete)
ab03621		2							
ab03622		2						P1virus	P1virus(incomplete)
ab03623		2							
ab03624		413		arrays		ambiguous			
ab03625	I-F	422					I-Fa		
ab03626	I-F,I-F	429					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab03627		241							
ab03628		2							
ab03629		416							
ab03630		415							
ab03631	I-F	417					I-Fa		
ab03632	I-F	417					I-Fa		
ab03633		2							
ab03634	I-F	1					I-Fb		
ab03635		2						P1virus	P1virus(incomplete)
ab03636		2							
ab03637		2						P1virus	P1virus(incomplete)
ab03638	I-F	438					I-Fa		
ab03639	I-F	417					I-Fa		
ab03640		406							
ab03641		2						P1virus	
ab03642		2						P1virus	P1virus(incomplete)
ab03643		241							
ab03644	I-F	422					I-Fa		
ab03645	I-F	1					I-Fb		
ab03646		2						P1virus	
ab03647	I-F	1					I-Fb		
ab03648		405							
ab03649	I-F	1					I-Fb		
ab03650	I-F	19					I-Fb		
ab03651		10						P1virus	P1virus(incomplete)
ab03652		2							
ab03653		515						P1virus	
ab03654		3							
ab03655	I-F	20					I-Fb		
ab03656		412							
ab03657		2							
ab03658		32							
ab03659		136							
ab03660		32							
ab03661		49			anycas	ambiguous			
ab03662		2							
ab03663	I-F	19					I-Fb		
ab03664		3							
ab03665		403							
ab03666		428		arrays	anycas	ambiguous			
ab03667	I-F	1					I-Fb		
ab03668		412							
ab03669		2							
ab03670		2							
ab03671		2							
ab03672		-							
ab03673	I-F	155					I-Fa		
ab03674		158							
ab03675		431						P1virus	P1virus(incomplete)
ab03676		665							
ab03677		2							
ab03678		2						P1virus	P1virus(incomplete)
ab03679		255							
ab03680	I-F	52					I-Fa		
ab03681		2							
ab03682		516							
ab03683	I-F	1					I-Fb		
ab03684		2							
ab03685		2							
ab03686		2							
ab03687		2							
ab03688		2						P1virus	P1virus(incomplete)
ab03689	I-F	1					I-Fb		
ab03690	I-F	-	incomplete				I-Fb		
ab03691	I-F	1	incomplete				I-Fb		
ab03692		2							
ab03693		2							
ab03694		2							
ab03695		2							
ab03696		2						P1virus	P1virus(incomplete)
ab03697		2							
ab03698		2							
ab03699		2							
ab03700		2							
ab03701		3							
ab03702		47							
ab03703	I-F	25					I-Fb		
ab03704	I-F	12					I-Fb		
ab03705		2						P1virus	P1virus(incomplete)
ab03706		15							
ab03707	I-F	9					I-Fb		
ab03708		34		arrays		ambiguous			
ab03709	I-F	38					I-Fb		
ab03710	I-F	1					I-Fb		
ab03711		10							
ab03712		11							
ab03713		40							
ab03714		35							
ab03715		2							
ab03716		36							
ab03717	I-F	1					I-Fb	P1virus	
ab03718		37							
ab03719	I-F	1					I-Fb		
ab03720	I-F	52					I-Fa		
ab03721		239							
ab03722		39							
ab03723		215						P1virus	P1virus(incomplete)
ab03724		215						P1virus	P1virus(incomplete)
ab03725		2						P1virus	
ab03726		23						P1virus	P1virus(incomplete)
ab03727		2						P1virus	
ab03728	I-F	1					I-Fb		
ab03729		78							
ab03730	I-F	1					I-Fb		
ab03731		2							
ab03732	I-F	1					I-Fb		
ab03733	I-F	1					I-Fb		
ab03734		-							
ab03735		2						P1virus	
ab03736		425							
ab03737		2							
ab03738	I-F	1					I-Fb		
ab03739		406							
ab03740		406							
ab03741		406							
ab03742		2						P1virus	
ab03743		2						P1virus	
ab03744		2						P1virus	P1virus(incomplete)
ab03745		2						P1virus	P1virus(incomplete)
ab03746		2						P1virus	P1virus(incomplete)
ab03747		2						P1virus	
ab03748		2						P1virus	
ab03749		2						P1virus	
ab03750		6							
ab03751	I-F,I-F	427					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab03752	I-F	417					I-Fa		
ab03753	I-F	417					I-Fa		
ab03754		2						P1virus	
ab03755		2						P1virus	
ab03756		2						P1virus	
ab03757		2							
ab03758	I-F	33	incomplete				I-Fb		
ab03759	I-F	79					I-Fa		
ab03760		2						P1virus	
ab03761		2						P1virus	
ab03762		406							
ab03763		2						P1virus	
ab03764	I-F	411					I-Fa		
ab03765		2						P1virus	
ab03766		2							
ab03767		2							
ab03768		2						P1virus	P1virus(incomplete)
ab03769		2							
ab03770		2						P1virus	
ab03771		2						P1virus	P1virus(incomplete)
ab03772	I-F	1					I-Fb		
ab03773		2							
ab03774		2							
ab03775	I-F	1					I-Fb		
ab03776		-							
ab03777		-							
ab03778	I-F,I-F	1					I-Fb		
ab03779	I-F	221					I-Fa		
ab03780	I-F	25					I-Fb		
ab03781		2							
ab03782		2						P1virus	
ab03783		639							
ab03784		2						P1virus	P1virus(incomplete)
ab03785		2						P1virus	P1virus(incomplete)
ab03786		2							
ab03787		2						P1virus	
ab03788		2						P1virus	P1virus(incomplete)
ab03789		2						P1virus	
ab03790		2						P1virus	P1virus(incomplete)
ab03791		2						P1virus	
ab03792		79						P1virus	P1virus(incomplete)
ab03793		2							
ab03794		2							
ab03795		2							
ab03796		2						P1virus	
ab03797		2						P1virus	
ab03798		2						P1virus	
ab03799		2						P1virus	
ab03800		2							
ab03801		79						P1virus	P1virus(incomplete)
ab03802		2						P1virus	
ab03803		79						P1virus	P1virus(incomplete)
ab03804		2						P1virus	
ab03805		2						P1virus	
ab03806	I-F	79					I-Fa		
ab03807		524						P1virus	P1virus(incomplete)
ab03808		2							
ab03809		2						P1virus	
ab03810		2						P1virus	
ab03811		2						P1virus	
ab03812		2						P1virus	
ab03813		2						P1virus	P1virus(incomplete)
ab03814		2						P1virus	
ab03815		2						P1virus	
ab03816		2						P1virus	P1virus(incomplete)
ab03817		2						P1virus	P1virus(incomplete)
ab03818		2						P1virus	
ab03819		2						P1virus	P1virus(incomplete)
ab03820		406							
ab03821		78							
ab03822		2						P1virus	
ab03823		2						P1virus	P1virus(incomplete)
ab03824		2						P1virus	P1virus(incomplete)
ab03825		2						P1virus	P1virus(incomplete)
ab03826		669							
ab03827	I-F	79					I-Fa		
ab03828		2							
ab03829	I-F	79					I-Fa		
ab03830		2						P1virus	P1virus(incomplete)
ab03831		2						P1virus	P1virus(incomplete)
ab03832	I-F	79	incomplete				I-Fa		
ab03833	I-F	25					I-Fb		
ab03834		2							
ab03835	I-F	25					I-Fb		
ab03836		2							
ab03837		2						P1virus	P1virus(incomplete)
ab03838		-						P1virus	
ab03839		2							
ab03840		514							
ab03841		523							
ab03842		2							
ab03843		-							
ab03844		2							
ab03845		416							
ab03846		2							
ab03847		2							
ab03848		537							
ab03849		2							
ab03850		500							
ab03851		2							
ab03852		2							
ab03853		16							
ab03854		416							
ab03855		527							
ab03856		2							
ab03857		499							
ab03858		241							
ab03859		416							
ab03860		2							
ab03861		2							
ab03862	I-F	529					I-Fb		
ab03863		203		arrays		ambiguous			
ab03865		512							
ab03866		503							
ab03867		2							
ab03868		499							
ab03869		528							
ab03871		536							
ab03872		2							
ab03873		240							
ab03874		-							
ab03876		-							
ab03877	I-F	508					I-Fb		
ab03878		10							
ab03879		2							
ab03880	I-F	25	incomplete				I-Fb		
ab03881		103							
ab03882	I-F	25					I-Fb		
ab03883		49			anycas	ambiguous			
ab03884		2							
ab03885		2							
ab03886		509		arrays		ambiguous		P1virus	
ab03887	I-F	506					I-Fb		
ab03888		16							
ab03889		2							
ab03890		2							
ab03891		2							
ab03892		2							
ab03893		2							
ab03894		-							
ab03895		2							
ab03896		416							
ab03897		2							
ab03898		670							
ab03899		2							
ab03900		522							
ab03901		2							
ab03902		650							
ab03903		2							
ab03904		2							
ab03905		2						P1virus	P1virus(incomplete)
ab03906		2							
ab03907		2							
ab03908		2							
ab03909		78							
ab03910	I-F	505					I-Fb		
ab03911		-						P1virus	P1virus(incomplete)
ab03912		2							
ab03913	I-F	533					I-Fb		
ab03914		154							
ab03915	I-F	-					I-Fb		
ab03916		16							
ab03917		2							
ab03918		16							
ab03919		78							
ab03920		-							
ab03921		2							
ab03922		514							
ab03923		2							
ab03924		10							
ab03925		32							
ab03926		2							
ab03927		499							
ab03928		514							
ab03929		2							
ab03930	I-F	108					I-Fa		
ab03931		2							
ab03932		16							
ab03933		2							
ab03934		2							
ab03935		499							
ab03936		2							
ab03937		2							
ab03938		2							
ab03939		2							
ab03940	I-F	-					I-Fa		
ab03941		500							
ab03942		2							
ab03943		2							
ab03944		526							
ab03945		525							
ab03946		2							
ab03947		-							
ab03948		-							
ab03949		2							
ab03950		2							
ab03951		195							
ab03952		-							
ab03953		2							
ab03954		535						P1virus	P1virus(incomplete)
ab03955		2							
ab03956		2							
ab03957		2							
ab03958		2						P1virus	P1virus(incomplete)
ab03959		2							
ab03960		2							
ab03961		500							
ab03962		499							
ab03963		499							
ab03964		10							
ab03965		651							
ab03966		2							
ab03967		510							
ab03968		2							
ab03969		49			anycas	ambiguous			
ab03970		2							
ab03971		2							
ab03972		499							
ab03973		500							
ab03974		2							
ab03975		500							
ab03976		500							
ab03977		2							
ab03978		2							
ab03979		16							
ab03980		54							
ab03981		2							
ab03982		671						P1virus	P1virus(incomplete)
ab03983		2							
ab03984		2						P1virus	P1virus(incomplete)
ab03985		499							
ab03986		2						P1virus	
ab03987		2							
ab03988	I-F	1					I-Fb		
ab03989	I-F	1					I-Fb		
ab03990		2							
ab03991		2							
ab03992		2							
ab03993		2							
ab03994		499							
ab03995		2							
ab03996		532							
ab03997		2							
ab03998		416							
ab03999		500							
ab04000		652							
ab04001		2							
ab04002		2							
ab04003		652							
ab04004		2							
ab04005		499							
ab04006		563							
ab04007		2							
ab04008		2							
ab04009		521							
ab04010		2							
ab04011		2							
ab04012		2							
ab04013		652							
ab04014		2							
ab04015		2							
ab04016		-							
ab04017		499							
ab04018		2							
ab04019		2							
ab04020		10							
ab04021		2							
ab04022		2							
ab04023	I-F	285					I-Fa		
ab04024		499							
ab04025		2							
ab04026		2							
ab04027		2							
ab04028		2							
ab04029		2							
ab04030		2							
ab04031		2							
ab04032		2							
ab04033		2							
ab04034		2							
ab04035		2							
ab04036		2							
ab04037		2							
ab04038		2							
ab04039		2							
ab04040		2							
ab04041		2							
ab04042		2							
ab04043		2							
ab04044		2							
ab04045		2							
ab04046		2							
ab04047		2							
ab04048		2							
ab04049		2							
ab04050		2							
ab04051		2							
ab04052		2							
ab04053		2							
ab04054		2							
ab04055		2							
ab04056		661							
ab04057		2							
ab04058		2							
ab04059		2							
ab04060		2							
ab04061		2							
ab04062		2							
ab04063		2							
ab04064		2							
ab04065		2							
ab04066		2							
ab04067		2							
ab04068		2							
ab04069		2							
ab04070		2							
ab04071		2							
ab04072		2							
ab04073		2							
ab04074		2							
ab04075		2							
ab04076		2							
ab04077		2							
ab04078		2							
ab04079		2							
ab04080		2							
ab04081		2							
ab04082		2							
ab04083		2							
ab04084		2							
ab04085		2							
ab04086		2							
ab04087		2							
ab04088		2							
ab04089		2							
ab04090		2							
ab04091		2							
ab04092		2							
ab04093		2							
ab04094		2							
ab04095		2							
ab04096		2							
ab04097		2							
ab04098		2							
ab04099		2							
ab04100		2							
ab04101		2							
ab04102		2							
ab04103		2							
ab04104		2							
ab04105		2							
ab04106		2							
ab04107		2							
ab04108		2							
ab04109		2							
ab04110		2							
ab04111		2							
ab04112		2							
ab04113		2							
ab04114		2							
ab04115		2							
ab04116		2							
ab04117		2							
ab04118		2							
ab04119		2							
ab04120		2							
ab04121		662							
ab04122		2							
ab04123		2							
ab04124		2							
ab04125		2							
ab04126		2							
ab04127		2							
ab04128		2							
ab04129		2							
ab04130		2							
ab04131		2							
ab04132		2							
ab04133		2							
ab04134		2							
ab04135		2							
ab04136		2							
ab04137		2							
ab04138		2							
ab04139		2							
ab04140		2							
ab04141		2							
ab04142		2							
ab04143		2							
ab04144		2							
ab04145		417							
ab04146		656							
ab04147		417							
ab04148		416							
ab04149		657							
ab04150		658							
ab04151		659							
ab04152		416							
ab04153		417							
ab04154		2							
ab04155		2							
ab04156		415							
ab04157		415							
ab04158		415							
ab04159		415							
ab04160		415							
ab04161		415							
ab04162		416							
ab04163		417							
ab04164		417							
ab04165		2							
ab04166		514							
ab04167		514							
ab04168		2							
ab04169		2							
ab04170		416							
ab04171		660							
ab04172		2							
ab04173		2							
ab04174		2							
ab04175		417							
ab04176		514							
ab04177		2							
ab04178		2							
ab04179		415							
ab04180		2							
ab04181		10						P1virus	P1virus(incomplete)
ab04182	I-F	1					I-Fb		
ab04183		2							
ab04184		2							
ab04185		-							
ab04186		2							
ab04187		2							
ab04188		2							
ab04189		2							
ab04190		2							
ab04191		2							
ab04192		2							
ab04193		2							
ab04194		2							
ab04195		416							
ab04196		416							
ab04197		-							
ab04198		673							
ab04199		674							
ab04200		2							
ab04201		500							
ab04202		514							
ab04203		514							
ab04204		-							
ab04205		514							
ab04206		2							
ab04207		2							
ab04208		2							
ab04209		2							
ab04210		2							
ab04211		514							
ab04212		514							
ab04213		514							
ab04214		2							
ab04215		500							
ab04216		-							
ab04217		336							
ab04218		1143						P1virus	
ab04219		417							
ab04220		499							
ab04221		2							
ab04222		2							
ab04223		2							
ab04224		2							
ab04225		500							
ab04226		514							
ab04227		514							
ab04228		2						P1virus	P1virus(incomplete)
ab04229		2							
ab04230		2							
ab04231		2							
ab04232		-							
ab04233		2							
ab04234		2							
ab04235		2							
ab04236		2							
ab04237		500							
ab04238		500							
ab04239		514							
ab04240		2							
ab04241		501							
ab04242		2							
ab04243		2							
ab04244		2							
ab04245		499							
ab04246		2						P1virus	P1virus(incomplete)
ab04247		499							
ab04248		514							
ab04249		-							
ab04250		71							
ab04251		499							
ab04252		-							
ab04253		56							
ab04254	I-F	126					I-Fb		
ab04255		-							
ab04256		10							
ab04257		2							
ab04258		-						P1virus	P1virus(incomplete)
ab04259		668							
ab04260		2							
ab04261		2							
ab04262		664							
ab04263		2							
ab04264		2							
ab04265		2						P1virus	P1virus(incomplete)
ab04266		2						P1virus	P1virus(incomplete)
ab04267		2						P1virus	P1virus(incomplete)
ab04268		499							
ab04269		499							
ab04270		40							
ab04271		40							
ab04272		2						P1virus	
ab04273		2						P1virus	P1virus(incomplete)
ab04274		-						P1virus	P1virus(incomplete)
ab04275		2						P1virus	P1virus(incomplete)
ab04276		2						P1virus	P1virus(incomplete)
ab04277		2						P1virus	
ab04278		2						P1virus	P1virus(incomplete)
ab04279		621							
ab04280	I-F	94					I-Fb		
ab04281		2						P1virus	P1virus(incomplete)
ab04282	I-F	52					I-Fa		
ab04283		499							
ab04284		638							
ab04285		79						P1virus	
ab04286	I-F	94					I-Fb		
ab04287		79							
ab04288		271							
ab04289		40							
ab04290		40							
ab04291	I-F	52					I-Fa		
ab04292		40							
ab04293	I-F	52					I-Fa		
ab04294	I-F	79					I-Fa		
ab04295		2						P1virus	
ab04296	I-F	-					I-Fb		
ab04297		2						P1virus	
ab04298	I-F	1					I-Fb		
ab04299		-						P1virus	P1virus(incomplete)
ab04300		40							
ab04301		2						P1virus	
ab04302		-						P1virus	P1virus(incomplete)
ab04303		2						P1virus	
ab04304		2						P1virus	P1virus(incomplete)
ab04305	I-F	52					I-Fa		
ab04306	I-F	52					I-Fa		
ab04307		40							
ab04308		10						P1virus	P1virus(incomplete)
ab04309		119							
ab04310		2						P1virus	
ab04311		2						P1virus	
ab04312		2						P1virus	
ab04313		40							
ab04314		2						P1virus	
ab04315		2						P1virus	
ab04316		2						P1virus	
ab04317		2							
ab04318	I-F	1					I-Fb		
ab04319		2						P1virus	
ab04320		2						P1virus	
ab04321		10							
ab04322		2						P1virus	P1virus(incomplete)
ab04323		2							
ab04324		2							
ab04325		2							
ab04326		2							
ab04327		2						P1virus	P1virus(incomplete)
ab04328		2							
ab04329		2							
ab04330		2						P1virus	
ab04331		2						P1virus	P1virus(incomplete)
ab04332		2						P1virus	P1virus(incomplete)
ab04333		2						P1virus	
ab04334		2						P1virus	P1virus(incomplete)
ab04335		2						P1virus	
ab04336		2						P1virus	P1virus(incomplete)
ab04337		2							
ab04338		23						P1virus	P1virus(incomplete)
ab04339		23						P1virus	P1virus(incomplete)
ab04340		2						P1virus	
ab04341		2						P1virus	P1virus(incomplete)
ab04342		2							
ab04343		23			anycas	ambiguous			
ab04344		2						P1virus	P1virus(incomplete)
ab04345		1554							
ab04346		2						P1virus	P1virus(incomplete)
ab04347		2						P1virus	P1virus(incomplete)
ab04348		105							
ab04349		-							
ab04350		2							
ab04351		2						P1virus	P1virus(incomplete)
ab04352		10						P1virus	P1virus(incomplete)
ab04353		2						P1virus	P1virus(incomplete)
ab04354		2						P1virus	
ab04355		2						P1virus	
ab04356		2						P1virus	
ab04357	I-F	1184					I-Fa		
ab04358		215						P1virus	P1virus(incomplete)
